Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transcription_Factor_PPIs	ILF3	17/297	5.771055e-10	8.598871e-08	0	0	7.861495e+00	1.672375e+02	SF3B4;RPL21;SSR4;RPL23;NDUFA2;NFXL1;RPL23A;RPL8;MRPL23;RPL10A;MRPL4;MRPL41;RPL7A;TRIP6;RPL14;RPS2;SNRPC
Transcription_Factor_PPIs	ILF2	12/184	5.203534e-08	3.756533e-06	0	0	8.792487e+00	1.474618e+02	SF3B4;RPL7A;EIF2B3;RPL21;SSR4;RPL23;RPL14;RPL23A;RPS2;RPL8;MRPL23;RPL10A
Transcription_Factor_PPIs	ESR1	25/871	7.563490e-08	3.756533e-06	0	0	3.923441e+00	6.433402e+01	MRPS17;SMARCB1;GTF2B;HMGB2;RPL8;RPL10A;RPL7A;EXOSC10;PRDX1;UIMC1;RPL14;RPS2;RRP12;RPS10;NOP58;UBE2I;RPL21;PUS1;TMOD3;CSNK2A2;RPL23A;SRRM1;VAPA;UBA3;HSPA1B
Transcription_Factor_PPIs	ESR2	12/365	6.280658e-05	2.339545e-03	0	0	4.244716e+00	4.106954e+01	GTF3C1;RPL7A;EXOSC10;FXR2;RPL23;ZNF638;HP1BP3;RPL23A;PTPN23;RRP12;RPL10A;HSPA1B
Transcription_Factor_PPIs	RFX5	3/17	3.630397e-04	9.015485e-03	0	0	2.573766e+01	2.038680e+02	MRPL53;NDUFA2;SRPRB
Transcription_Factor_PPIs	KLF1	3/17	3.630397e-04	9.015485e-03	0	0	2.573766e+01	2.038680e+02	SMARCB1;CSNK2A2;ARID1A
Transcription_Factor_PPIs	NR3C1	8/239	9.546899e-04	2.032126e-02	0	0	4.242641e+00	2.950385e+01	UBE2I;SMARCB1;PRDX1;TRIP6;CCDC6;HMGB2;HSPA1B;HMOX2
Transcription_Factor_PPIs	FOS	7/199	1.490899e-03	2.776800e-02	0	0	4.447464e+00	2.894577e+01	GRHPR;UBE2I;SMARCB1;TRIP6;CSNK2A2;RRP12;HSPA1B
Transcription_Factor_PPIs	ATF1	3/32	2.414450e-03	3.350957e-02	0	0	1.241567e+01	7.482037e+01	CSNK2A2;CAMK1;GABPB1
Transcription_Factor_PPIs	GATA1	4/69	2.716470e-03	3.350957e-02	0	0	7.417261e+00	4.382431e+01	SMARCB1;CASP3;ARID1A;HSPA1B
Transcription_Factor_PPIs	SMARCC2	5/114	2.769750e-03	3.350957e-02	0	0	5.550459e+00	3.268664e+01	NCSTN;SMARCB1;ARID1A;PEX14;SRRM1
Transcription_Factor_PPIs	FOXP3	9/350	2.881607e-03	3.350957e-02	0	0	3.235379e+00	1.892505e+01	GTF3C1;DYNC1LI1;DDX19A;GTF2B;WDR3;WDR75;TFIP11;ARID1A;SRRM1
