Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transcription_Factor_PPIs	MYC	34/957	4.535492e-11	7.640604e-09	0	0	4.347386e+00	1.035395e+02	HDAC2;AHNAK;CTNND1;SMC3;PRPF8;ELAVL1;EFTUD2;FBL;PTBP1;MTHFD1L;ALDH1B1;CALD1;SSR1;HNRNPA0;NDUFA8;SMARCC1;SMARCC2;RFC2;SDHA;U2SURP;NUP93;DPM1;ERP44;PSMC5;RCN1;SNW1;ILVBL;NDUFS3;SUCLG2;NDUFS1;MATR3;SNRNP200;SLC25A11;KPNB1
Transcription_Factor_PPIs	ESR1	32/871	7.836517e-11	7.640604e-09	0	0	4.465516e+00	1.039110e+02	HDAC2;AHNAK;PRPF8;MTDH;EFTUD2;TUBA1C;PTBP1;BCLAF1;RBBP4;SNRPD1;MACROD1;HADH;SPTBN1;HNRNPA0;ACTR2;SUPT16H;SMARCC2;FUS;ACTN4;BAZ1B;ILF2;U2SURP;HNRNPL;HADHA;MYL6;PSMC5;SNW1;THRAP3;SRSF5;SRSF7;RBMX;KPNB1
Transcription_Factor_PPIs	POU5F1	20/338	1.222223e-10	7.944452e-09	0	0	7.044025e+00	1.607811e+02	LRRC47;MDC1;TCERG1;SUPT16H;SMARCC1;HDAC2;CMAS;SMARCC2;AHNAK;SSRP1;ILF2;ELAVL1;RTN4;HCFC1;WDR33;NUP93;HNRNPL;HADHA;FRG1;MATR3
Transcription_Factor_PPIs	ILF3	17/297	5.289543e-09	2.578652e-07	0	0	6.697780e+00	1.276432e+02	NDUFB9;FUS;MRPL39;RRBP1;ILF2;RTN4;LETM1;PGRMC1;RCN1;SSR1;IARS2;SFXN1;ZNF326;PLP2;SRSF5;RAE1;VAMP2
Transcription_Factor_PPIs	AIRE	8/68	3.047886e-07	1.188676e-05	0	0	1.415484e+01	2.123742e+02	EFTUD2;NUP93;SUPT16H;HDAC2;SSRP1;SMC3;KPNB1;SNRPB
Transcription_Factor_PPIs	POLR2A	13/239	6.354052e-07	2.065067e-05	0	0	6.222559e+00	8.878971e+01	MDC1;TCERG1;SMARCC1;SMARCC2;DCTN2;FUS;SSRP1;SMC3;ELAVL1;CSTF1;ZNF326;PPIG;POLR2H
Transcription_Factor_PPIs	NOTCH1	12/204	7.596851e-07	2.116266e-05	0	0	6.735577e+00	9.490672e+01	RBPJL;PTBP1;SMARCC1;SNW1;SMARCC2;RING1;RBBP4;POFUT1;SMC3;PRPF8;KPNB1;HCFC1
Transcription_Factor_PPIs	HTT	13/293	6.057693e-06	1.476563e-04	0	0	5.008642e+00	6.017474e+01	TCERG1;NDUFB9;NDUFA8;DLST;ETFB;COX6B1;HADHA;PSMC5;DPYSL2;NDUFS3;NDUFS1;RAC1;SLC25A11
Transcription_Factor_PPIs	FOXP3	14/350	8.663354e-06	1.877060e-04	0	0	4.506944e+00	5.253479e+01	SMARCC1;HDAC2;RBM15;SMARCC2;RBM8A;ADAR;PLRG1;WDR33;HNRNPL;TUBA1C;BCLAF1;SRP72;PPIG;RBM34
Transcription_Factor_PPIs	ESR2	14/365	1.388648e-05	2.707864e-04	0	0	4.311016e+00	4.821697e+01	HNRNPCL1;SF3A1;SMARCC2;RFC2;RRBP1;CCAR1;HCFC1;EFTUD2;LIMA1;MYL6;BCLAF1;DDX39A;SSR1;SRSF5
Transcription_Factor_PPIs	NANOG	9/160	2.698688e-05	4.784039e-04	0	0	6.332379e+00	6.661763e+01	SUPT16H;HDAC2;RBBP4;RFC2;CAPZA1;POLR2H;SSRP1;ILF2;KPNB1
Transcription_Factor_PPIs	RUNX1	7/106	7.860567e-05	1.202966e-03	0	0	7.451467e+00	7.042431e+01	SMARCC1;HDAC2;SMARCC2;RING1;RBBP4;ELAVL1;HCFC1
Transcription_Factor_PPIs	ILF2	9/184	8.019775e-05	1.202966e-03	0	0	5.457266e+00	5.146756e+01	ATP6V1A;PTBP1;RCN1;MRPL50;SFXN1;IARS2;SRSF5;SREK1;SRSF7
Transcription_Factor_PPIs	JARID2	4/26	1.085519e-04	1.511973e-03	0	0	1.893206e+01	1.728172e+02	BCLAF1;RBBP4;THRAP3;ELAVL1
Transcription_Factor_PPIs	NR4A1	7/115	1.313455e-04	1.707491e-03	0	0	6.827392e+00	6.102104e+01	GLUD1;HADHA;SMARCC1;PSMC5;CHMP2B;MATR3;RTN4
Transcription_Factor_PPIs	TP63	7/120	1.712307e-04	2.086875e-03	0	0	6.523638e+00	5.657624e+01	HNRNPL;TUBA1C;HNRNPCL1;SMARCD2;FUS;ADH5;SCAF4
Transcription_Factor_PPIs	ATF2	9/237	5.280069e-04	6.056550e-03	0	0	4.177383e+00	3.152421e+01	HADHA;MYL6;FH;AHNAK;CTNND1;SFXN1;CD44;RTN4;S100A10
Transcription_Factor_PPIs	SOX2	5/70	5.922942e-04	6.416520e-03	0	0	8.034595e+00	5.970915e+01	SUPT16H;SMARCC1;HDAC2;SMARCC2;RBBP4
Transcription_Factor_PPIs	VDR	6/109	6.823462e-04	7.003027e-03	0	0	6.105040e+00	4.450558e+01	HDAC2;PSMC5;SNW1;THRAP3;ACTN4;BAZ1B
Transcription_Factor_PPIs	NCOR1	7/155	8.055876e-04	7.589180e-03	0	0	4.972034e+00	3.542046e+01	SMARCC1;SF3A1;SMARCC2;SNW1;RBBP4;BAZ1B;NELFE
Transcription_Factor_PPIs	BRCA1	12/418	8.172963e-04	7.589180e-03	0	0	3.150544e+00	2.239882e+01	MDC1;SMARCC1;SMARCD2;HDAC2;SMARCC2;RBBP4;RFC2;CSTF1;UBE2E1;MRPL39;POLR2H;SNRNP200
Transcription_Factor_PPIs	SMARCB1	6/116	9.455696e-04	8.381185e-03	0	0	5.714507e+00	3.979424e+01	SMARCC1;SMARCD2;HDAC2;SMARCC2;RBBP4;BAZ1B
Transcription_Factor_PPIs	SIN3A	8/214	1.185898e-03	1.005435e-02	0	0	4.092285e+00	2.757077e+01	SMARCC1;HDAC2;SNW1;SMARCC2;RBBP4;BAZ1B;S100A10;HCFC1
Transcription_Factor_PPIs	HDAC2	11/387	1.451179e-03	1.179083e-02	0	0	3.106180e+00	2.030006e+01	PPIL1;SMARCC1;SNW1;SMARCC2;RBBP4;RAC1;BAZ1B;SMC3;ELAVL1;HCFC1;APPL1
Transcription_Factor_PPIs	RARA	7/175	1.628435e-03	1.270179e-02	0	0	4.375668e+00	2.809239e+01	HNRNPL;HDAC2;PSMC5;SNRNP40;SNW1;MRTO4;BAZ1B
Transcription_Factor_PPIs	SALL4	4/53	1.733977e-03	1.275434e-02	0	0	8.488507e+00	5.396430e+01	SMARCC1;HDAC2;RBBP4;ELAVL1
Transcription_Factor_PPIs	PHC1	3/25	1.765986e-03	1.275434e-02	0	0	1.412470e+01	8.953714e+01	HDAC2;RING1;ELAVL1
Transcription_Factor_PPIs	KDM5B	4/63	3.272064e-03	2.278759e-02	0	0	7.046209e+00	4.032076e+01	HDAC2;SMARCC2;RBBP4;ELAVL1
Transcription_Factor_PPIs	CHD1	4/65	3.663729e-03	2.463542e-02	0	0	6.814495e+00	3.822437e+01	BCLAF1;SSRP1;SMC3;ELAVL1
Transcription_Factor_PPIs	SP1	8/263	4.243819e-03	2.758482e-02	0	0	3.297660e+00	1.801278e+01	PSMC5;SF3A1;SMARCC1;HDAC2;SMARCC2;RBBP4;PPIG;HCFC1
Transcription_Factor_PPIs	SMAD2	10/384	4.399900e-03	2.764774e-02	0	0	2.823762e+00	1.532222e+01	SF3B2;SMARCC1;HDAC2;SNW1;SMARCC2;SRSF5;SNRNP200;ELAVL1;SPTBN1;KPNB1
Transcription_Factor_PPIs	GATA1	4/69	4.540101e-03	2.764774e-02	0	0	6.393846e+00	3.449356e+01	SMARCC1;HDAC2;SMARCC2;RBBP4
Transcription_Factor_PPIs	KLF5	3/35	4.680840e-03	2.764774e-02	0	0	9.705825e+00	5.206474e+01	HDAC2;RRBP1;ELAVL1
Transcription_Factor_PPIs	CEBPA	5/113	4.918204e-03	2.764774e-02	0	0	4.825103e+00	2.564451e+01	HDAC2;MRTO4;ELAVL1;SLC25A11;SPTBN1
